METADATA,,,,,,,,,,,
title.en,ITU Carrier Codes ,,,,,,,,,,
,,,,,,,,,,,
DATA,type=array,,,,,,,,,,
country_name,country_code,organization,address_line_1,address_line_2,address_line_3,address_line_4,code,contact_person,tel,fax,email
Germany (Federal Republic of) ,DEU,Elementmedia GmbH,Liethstrasse 32,58239 SCHWERTE,,,EMEDIA,Mr Knut Dellmann,+49 2304 934002,+49 2304 934008,dellmann@elementmedia.com
Germany (Federal Republic of) ,DEU,Emden Digital GmbH,Martin-Faber-Strasse 11,26725 EMDEN,,,EMDDIG,Mr Joachim Ehmen,+49 4921 83209,+49 4921 8384606,j.ehmen@emden-digital.de
Germany (Federal Republic of) ,DEU,EMOTEC NETWORKS GmbH,Industriestrasse 13,97353 WIESENTHEID,,,EMOTEC,Mrs Tanja Beck,+49 9383 90596 23,+49 9383 90596 10,info@emotec-networks.de
Germany (Federal Republic of) ,DEU,encoLine GmbH,Leibnizstrasse 73,07548 Gera,,,ELINE,Mr. Maik Scheffel,+49 365 8337 410,+49 365 8337 599,ms@encoline.de
Germany (Federal Republic of) ,DEU,endesha GmbH,Bühlweg 5,53510 BUTZBACH,,,ENDESH,Mr. Peter Dippold,+49 6033 73076,+49 6033 9182473,support@endesha.de
Germany (Federal Republic of) ,DEU,Energieversorgung Filstal GmbH & Co. KG,Grosseislinger Strasse 28 - 34,73033 GOEPPINGEN,,,EVFIGP,,+49 7161 6101 140,+49 7161 6101 255,andreas.bantel@evf.de
Germany (Federal Republic of) ,DEU,Engel & Co. GmbH Gera,Leibnizstrasse 73,07548 GERA,,,ENGELC,Mr. Gotthard Hoffmann,+49 365 8337420,+49 365 8337310,info@enco-gera.de
Germany (Federal Republic of) ,DEU,Enghouse Networks (Germany) GmbH,Willi-Bleicher-Strasse 9,52353 DUEREN,,,SMS,Mr Manfred Dohmen,+49 2421 9857 939,+49 2421 9857 999,manfred.dohmen@enghouse.com
Germany (Federal Republic of) ,DEU,ENNI Energie & Umwelt Niederrhein GmbH,Uerdinger Strasse 31,47441 MOERS,,,ENNI,Mr Cafer Kaya,+49 2841 104211,+49 2841 104384,ckaya@enni.de
Germany (Federal Republic of) ,DEU,EnoCom GmbH,Lauterbergstr. 1-5,76137 KARLSRUHE,,,ENOCOM,Mr Frank Notheis,+49 721 3522231,+49 721 352 25 2231,frank.notheis@enocom.de
Germany (Federal Republic of) ,DEU,envia TEL GmbH,Friedrich-Ebert-Strasse 26,04416 MARKKLEEBERG,,,ETEL,Mr. Peter Zech,+49 355 68 1214,+49 355 68 2500,peter.zech@enviatel.de
Germany (Federal Republic of) ,DEU,epcan GmbH,Marienstrasse 1,48691 VREDEN,,,DE1EPC,Mr. Gerd Gevering,+49 2564 883080,+49 2564 883378,gg@gmx.de
Germany (Federal Republic of) ,DEU,Equada GmbH,Am Neuen Berg 3,63755 ALZENAU,,,EQUADA,Mr Bernd Buedenbender,+49 6023 96741 0,+49 6023 96741 11,nummernverwaltung@equada.de
Germany (Federal Republic of) ,DEU,ETN EmslandTel.Net GmbH & Co.KG,Daimlerstrasse 1,49716 MEPPEN,,,ETNTEL,Mr Sebastian Hoogland,+49 5931 877997 13,+49 5931 877997 8,sh@etn.group
Germany (Federal Republic of) ,DEU,Euralink,Pappelallee 78/79,10437 BERLIN,,,EURAL,Mr Tim Steinmann,+49 30 3187 9580 0,+49 30 3187 9580 9,porting@eura.link
Germany (Federal Republic of) ,DEU,euromicron Deutschland GmbH,Baumeisterallee 13 - 15,04442 ZWENKAU,,,EMD04,Mr Holger Foedisch,+49 34203 446814,+49 34203 446820,holger.foedisch@euromicron-deutschland.de
Germany (Federal Republic of) ,DEU,EWE TEL GmbH,Cloppenburger Strasse 310,26133 OLDENBURG,,,EWE,Peter Kuhnt,+49 441 8000 1941,+49 441 8000 1998,peter.kuhnt@ewe.de
Germany (Federal Republic of) ,DEU,EWE TEL GmbH,Goebenstrasse 3 – 7,32052 HERFORD,,,EWEOWL,Kirstin Henke,+49 441 8800 1403,+49 441 8800 1998,kirstin.henke@ewe.de
Germany (Federal Republic of) ,DEU,EWR Aktiengesellschaft,Lutherring 5,67547 WORMS,,,EWRAG,Mr Thorsten Volz,+49 6241 848 328,+49 6241 848 500,volz@ewr.de
Germany (Federal Republic of) ,DEU,EWR Netz GmbH,Klosterstrasse 16,67547 WORMS,,,EWRNET,Mr. Alexandros Stefikos,+49 6241 848 810,+49 6241 848 812,stefikos.alexandros@ewr-netz.de
Germany (Federal Republic of) ,DEU,FaciliCom International Germany,Windmühlstr. 1,D-60329 FRANKFURT,,,FCI,Andreas Huenig,+49 69 310 890,+49 69 310 89111,
Germany (Federal Republic of) ,DEU,FairNetz GmbH,Hauffstrasse 89,72762 REUTLINGEN,,,FNETRT,Mr Erwin Romeser,+49 7121 5823250,+49 7121 5823114,erwin.romeser@fairnetzgmbh.de
Germany (Federal Republic of) ,DEU,"FAKS, Frankfurter Antennen- und Kommunikationsservice GmbH",Karl-Marx-Strasse 193,15230 FRANKFURT (Oder),,,TCFAKS,Mr Andreas Gaertig,+49 341 60 952 445,+49 341 60 952 903,andreas.gaertig@pyur.com
Germany (Federal Republic of) ,DEU,Felkatec Software GmbH & Co.KG,Friedrichstrasse 7,86709 WOLFERSTADT,,,FELKAT,Mr Benedikt Richter,+49 9092 211932,+49 9092 911068,portierung@felkatec.de
Germany (Federal Republic of) ,DEU,Filiago GmbH & Co.KG,Hamburger Strasse 19,23795 BAD SEGEBERG,,,FILIAG,Mr. Andre Mueller,+49 4551 90880 19,+49 4551 90880 20,support@filiago.net
Germany (Federal Republic of) ,DEU,First Communication GmbH,Lyoner Strasse 15,60528 FRANKFURT,,,FIRSTC,Mrs Valentina Elsaesser,+49 69 65006 550,+49 69 65006 559,valentina.elsaesser@first-telecom.de
Germany (Federal Republic of) ,DEU,First Telecom GmbH,Lyoner Strasse 15,60528 FRANKFURT,,,FIRSTT,Mrs Valentina Elsaesser,+49 69 65006 550,+49 69 65006 559,valentina.elsaesser@first-telecom.de
Germany (Federal Republic of) ,DEU,Flatphone GmbH,Am Spielacker 18 A,63571 GELNHAUSEN,,,FLP,,+49 6051 91441 10,+49 6051 91441 10,info@flatphone.de
Germany (Federal Republic of) ,DEU,FLINK GmbH,Gewerbepark 18,49143 BISSENDORF,,,FLINK,Mr. Sven Geiger,+49 4535 27999 27,+49 4535 27999 90,sven.geiger@deutsche-glasfaser.de
Germany (Federal Republic of) ,DEU,FNOH-DSL Südheide GmbH,Alte Bahnhofstrasse 28,31311 UETZE,,,FNOH,Mr Marc Blechschmidt,+49 5147 3089900,+49 5147 3089903,support@fnoh.de
Germany (Federal Republic of) ,DEU,foncloud GmbH & Co.KG,Hahlweg 2a,36093 KUENZELL,,,FCLOUD,Mr Peter Krug,+49 661 968990 00,+49 661 968990 98,support@foncloud.net
Germany (Federal Republic of) ,DEU,fonial GmbH,Venioer Str. 47-53,50672 KOELN,,,FONIAL,Mr Wolfram Lueders,+49 22166951100,+49 22166951199,info@fonial.de
Germany (Federal Republic of) ,DEU,FPS InformationsSysteme GmbH,Weyererstrasse 7 - 8,97508 GRETTSTADT,,,FPS,,+49 9729 90799 0,+49 9729 90799 69,info@fps.de
Germany (Federal Republic of) ,DEU,Francotyp-Postalia Vertrieb und Service GmbH,Prenzlauer Promenade 28,13089 BERLIN,,,FPVSG,Mrs Lieselotte Schuler,+49 30 220660 324,+49 30 220660 389,l.schuler@francotyp.com
Germany (Federal Republic of) ,DEU,Freenet Datenkommunikations GmbH,Deelboegenkamp 4 c,22297 HAMBURG,,,FDKNET,,+49 211 53087 100,+49 211 53087 111,service@freenet-business.de
Germany (Federal Republic of) ,DEU,Freikom GmbH,Augsburger Weg 19 a,25813 SCHWESING,,,FREIKM,Mr Stefan Frech,+49 4841 964990 0,+49 4841 964990 49,immeronline@freikom.net
Germany (Federal Republic of) ,DEU,Gabikom UG (haftungsbeschraenkt),Frankenwerft 1,50667 COLOGNE,,,GABI,Mr. Joern Dost,+49 221 1657 7253,+49 221 1653 7272,voice@dt-internet.de
Germany (Federal Republic of) ,DEU,GBC Kommunikationssysteme GmbH,Leibnizstrasse 2,79379 MUELLHEIM,,,GBCNGN,Mr Ingo Goebel,+49 7631 172293,+49 7631 172294,ingo.goebel@gbc-systeme.de
Germany (Federal Republic of) ,DEU,geitnerELEKTRONIK GmbH,Gruene Strasse 1,04880 DOMMITZSCH,,,GEITHN,Mrs Kathrin Weisse,+49 34223 40489,,geithnerelektronik@t-online.de
Germany (Federal Republic of) ,DEU,GELSEN-NET Kommunikationsgesellschaft mbH,Horster Strasse 119,45897 GELSENKIRCHEN,,,GELNET,Mr. Roman Niewerth,+49 209 702 2239,+49 209 702 2100,roman.niewerth@gelsen-net.de
Germany (Federal Republic of) ,DEU,Gemeindewerke Hohenwestedt GmbH,Am Gaswerk 8,24594 Hohenwestedt,,,GWH014,Mrs. I. Schmidt,+49 4871 7687 0,+49 4871 7687 19,i.schmidt@gemeindewerkehohenwestedt.de
Germany (Federal Republic of) ,DEU,Gemeindewerke Hohenwestedt GmbH,Am Gaswerk 8,24594 HOHENWESTEDT,,,GWH100,Mr Tim Petersen,+49 4871 7687 24,+49 4871 7687 19,t.petersen@gemeindewerke-hohenwestedt.de
Germany (Federal Republic of) ,DEU,Gemeindewerke Nümbrecht GmbH,Schulstrasse 4,51588 NUEMBRECHT,,,LUZIE,Mrs Karina Tuttlies,+49 2293 9113 14,+49 2293 9113 55,tuttlies@gwn24.de
Germany (Federal Republic of) ,DEU,"Georg Kröber, WEBSERVICE",Rodenbergweg 2,97688 BAD KISSINGEN,,,SIPSAL,Mr Georg Kröber,+49 971 7852 6638,+49 971 7852 6639,support@sipsale.de
Germany (Federal Republic of) ,DEU,Gesellschaft für Digitale Werte mbH,In der Marsch 12 a,21339 LUENEBURG,,,GEDIWE,Mr Heiner Ohm,+49 4131 7895350,,ho@digitale-werte.com
Germany (Federal Republic of) ,DEU,GETEC media AG,Albert-Vater-Strasse 50,39108 MAGDEBURG,,,GMESYN,Mr Goetz Bittner,+49 391 50860 611,+49 391 50860 699,goetz.bittner@getec.de
Germany (Federal Republic of) ,DEU,Getinternet GmbH,Steindorfstrasse 2,80538 MUNICH,,,GETTEL,Mr Marc Gutzeit,+49 5032 8942 432,+49 5032 8942 440,gutzeit@getinternet.de
Germany (Federal Republic of) ,DEU,getSolve IT GmbH,Neufeldtstr. 6,24118 KIEL,,,GSNET,Mr Oliver Timm,+49 431 799449-0,+49 431 799449-19,info@getsolve-it.de
Germany (Federal Republic of) ,DEU,GGEW net GmbH,Dammstrasse 68,64625 Bensheim,,,11NET6,Mr. Uwe Saenger,+49 6251 1301 499,+49 6251 1301 590,info@ggew-net.de
Germany (Federal Republic of) ,DEU,GlasCom Salzlandkreis GmbH,Am Druschplatz 14,39443 STASSFURT,,,GLASC1,Mr Friedrich Huelsenbeck,+49 39291 745300,+49 39291 745310,f.huelsenbeck@e-ms.de
Germany (Federal Republic of) ,DEU,Glasfaser Hengersberg GmbH,Passauer Strasse 1,94491 HENGERSBERG,,,GFHENG,Mrs Edith Herboeck,+49 9901 9308 80,+49 9901 9308 50,info@glasfaser-hengersberg.de
Germany (Federal Republic of) ,DEU,Global Village GmbH,Mehrumer Strasse 16,46562 VOERDE,,,GLOBAL,Mr Elmar Germann,+49 2855 9651 0,+49 2855 9651 110,germann@globvill.de
Germany (Federal Republic of) ,DEU,globalcarrier telecom GmbH,Hauptstrasse 22 b,36381 SCHLUECHTERN,,,GC2005,Mr Jochen Werner,+49 6664 5519 8020,+49 6664 5519 8011,jochen.werner@globalcarrier.de
Germany (Federal Republic of) ,DEU,Globalways AG,Neue Bruecke 8,70173 STUTTGART,,,GWXS,Mr. Matthias Kunz,+49 711 25290 324,+49 711 25290 180,matthias.kunz@globalways.net
Germany (Federal Republic of) ,DEU,GmuendCOM GmbH,Buergerstrasse 5,73525 SCHWAEBISCH GMUEND,,,GDCOM,Mr Dirk Jentzsch,+49 7171104160,+49 7171104162146,dirk.jentzsch@ropa.de
Germany (Federal Republic of) ,DEU,gnTel GmbH,Stadttor 1,40219 DUESSELDORF,,,GNTEL1,Mr Patrick Schmitz,+49 211 36876100,+49 211 36876101,p.schmitz@gntel.de
Germany (Federal Republic of) ,DEU,GoeTel GmbH,Weender Landstrasse 59,37075 Goettingen,,,GTEL,Mr Andre Heckmann,+49 551 38488 0,+49 551 38488 88,info@goetel.net
Germany (Federal Republic of) ,DEU,"GP-Elektronik, Inh. Klemens Pohl e.K",Elsterstrasse 22,08626 ADORF,,,GPISP,Mr Klemens Pohl,+49 37423 48972,+49 37423 48982,info@gpelektronik.de
Germany (Federal Republic of) ,DEU,gustav internet GmbH & Co.KG,Landwehrstrasse 76,30519 HANNOVER,,,GUSTAV,,+49 511 9999 8040,+49 511 9999 8041,icc@gustavinternet.de
Germany (Federal Republic of) ,DEU,GVG Glasfaser GmbH,Schwedendamm 16,D-24143 KIEL,,,GVG,Mr. Klaus Leckelt,+49 431 90 7004 20,+49 431 90 7004 99,klaus.leckelt@glasfaser.co
Germany (Federal Republic of) ,DEU,GWHtel GmbH & Co.KG,Ostereschweg 9,25469 HALSTENBEK,,,GWHTEL,Mrs. Gesche Richter,+49 4104 4907 150,+49 4101 4907 8150,g.richter@gwh-halstenbek.de
Germany (Federal Republic of) ,DEU,GWS Stadtwerke Hameln GmbH,Hafenstrasse 14,31785 HAMELN,,,GWSHAM,Mrs Susanne Treptow,+49 5151 788 208,+49 5151 788 120,treptow@gws.de
Germany (Federal Republic of) ,DEU,Harmatec GmbH,Kaiserdamm 11,14057 BERLIN,,,HRMTEC,Mr Fatih Harmanli,+49 30 6128 6655,+49 30 6128 6171,info@harmatecit.de
Germany (Federal Republic of) ,DEU,"Heike Keim, Keim - Elektronik",Landsburger Strasse 4,34599 NEUENTAL,,,KENS34,Mr Stefan Keim,+49 6693 919081,+49 6693 919082,info@keim-elektronik.de
Germany (Federal Republic of) ,DEU,HeLi NET Telekommunikation GmbH & Co.KG,Hafenstrasse 80 - 82,59067 HAMM,,,HELI01,Mr. Markus Huesken,+49 2381 8744 101,+49 2381 8744 651,huesken@helinet.de
Germany (Federal Republic of) ,DEU,Herbst Datentechnik GmbH,Philippistrasse 10,14059 BERLIN,,,HERBST,Mr Robert Schwanitz,+49 30 788 90 530,+49 30 788 90 559,support@herbst.de
Germany (Federal Republic of) ,DEU,Herzo Media GmbH & Co. KG,Schießhausstraße 9,91074 HERZOGENAURACH,,,HERZO,Mr. Jürgen Mundt,+49 9132 904 800,+49 9132 904 809,juergen.mundt@herzomedia.de
Germany (Federal Republic of) ,DEU,HessenKom GmbH & Co.KG,Die Weidenbach 6,63674 ALTENSTADT,,,HESKOM,Mr Peer Kohlstetter,+49 6047 987718,+49 6047 987719,kohlstetter@hessenkom.de
Germany (Federal Republic of) ,DEU,HFO Home GmbH,Bahnhofstrasse 18,95028 HOF,,,HOME,,+49 9281 1448 100,+49 9281 1448 222,home@hfo-telecom.de
Germany (Federal Republic of) ,DEU,HFO Telecom Vertriebs GmbH,Bahnhofstrasse 18,95028 Hof,,,HFO,Mrs. Stefanie Krause,+49 9281 1448 100,+49 9281 1448 123,krause@hfo-telecom.de
Germany (Federal Republic of) ,DEU,Hightel GmbH,Vestische Strasse 165,46117 OBERHAUSEN,,,INNO1,Mr Guido Hoersken,+49 208 970429 16,+49 208 970429 29,guido.hoersken@hightel.de
Germany (Federal Republic of) ,DEU,HLKomm Telekommunikations GmbH,Nonnenmuehlgasse 1,04107 LEIPZIG,,,HLK,Mr. Werner Rahn,+49 341 8697 126,+49 341 35590122,werner.rahn@hlkomm.de
Germany (Federal Republic of) ,DEU,HNS UG,Eckenerstrasse 2,45470 MUEHLHEIM/ RUHR,,,HNS,Mr. Philipp Hoffmann,+49 211 95263 100,+49 211 95263 111,philip.hoffmann@hns-telecom.de
Germany (Federal Republic of) ,DEU,hochrheinNET GmbH,Gemeindezentrum 1,79790 KUESSABERG,,,HRN,Mr Francesco Lucia,+49 7741 606770,+49 7741 606841,info@hochrheinnet.de
Germany (Federal Republic of) ,DEU,Hofmeir Media GmbH,Kranzhornstrasse 3,81825 MUNCHEN,,,BELSIP,Mr. Stefan Hofmeir,+49 89 48951048,+49 89 4487505,portierung@bellsip.com
Germany (Federal Republic of) ,DEU,Hofnetz und IT Services GmbH,Geneststrasse 5,10829 BERLIN,,,HOFNET,,+49 30 440123 166,+49 30 440123 299,portierung@hofnetz.de
Germany (Federal Republic of) ,DEU,Hotzone GmbH,Oberer Mainkai 1,97070 WUERZBURG,,,HOTZON,Mr Holger Boehm,+49 30 916845 10,+49 30 916845 11,info@hotzone.de
Germany (Federal Republic of) ,DEU,HSE Medianet GmbH,Frankfurter Strasse 100,D-64293 DARMSTADT,,,HMN,Peter Stumpf,+49 6151 709 3450,+49 6151 709 3453,peter.stumpf@hse-medianet.de
Germany (Federal Republic of) ,DEU,HT Experts GmbH Business Solution,Wilhelm-Theodor-Roemheld-Strasse 14,55130 Mainz,,,HTEBSI,Mr. Azdine Lamrabet,+49 6131 923535,+49 6131 921100,info@telecall24.de
Germany (Federal Republic of) ,DEU,HT Kommunikation GmbH & Co.KG,Raiffeisenstrasse 5,77704 OBERKIRCH,,,HTKOM,,+49 7802 70407 0,+49 7802 70407 29,portierung@ht-kommunikation.de
Germany (Federal Republic of) ,DEU,htp GmbH,Mailaender Strasse 2,30539 Hannover,,,HTP,Mr. Stefan Wald,+49 511 6000 4115,+49 511 6000 4199,s.wald@htp.net
Germany (Federal Republic of) ,DEU,Hughes Network Systems GmbH,Ottostrasse 9,64347 GRIESHEIM,,,HUGHES,Mr David Cant,+44 1908 425 316,+44 1908 425 301,d.cant@hugheseurope.com
Germany (Federal Republic of) ,DEU,hugo internet GmbH & Co.KG,Landwehrstrasse 76,30519 HANNOVER,,,HUGO,,+49 511 9999 8040,+49 511 9999 8041,icc@hugointernet.de
Germany (Federal Republic of) ,DEU,iks informations- und kommunikations Systeme GmbH,Heiligkreuzstrasse 2 - 4,66709 WEISKIRCHEN,,,IKSYS,Mr Markus Backes,+49 6876 990000,+49 6876 1501,info@iks-computer.de
Germany (Federal Republic of) ,DEU,Ilm-Provider UG (haftungsbeschraenkt),Marienstrasse 2,98693 Martinroda,,,IP,Mr. Christian Knoefel,+49 3677 8929999,+49 3677 6896804,info@ilm-provider.de
Germany (Federal Republic of) ,DEU,imos Gesellschaft für Internet-Marketing und Online-Services mbH,Alfons-Feifel-Strasse 9,73037 GOEPPINGEN,,,IMOS,Mr Alfred Wallender,+49 7161 93339 327,+49 7161 93339 99,aw@imos.net
Germany (Federal Republic of) ,DEU,INCAS GmbH,Europark Fichtenhain A 15,47807 KREFELD,,,INCAS,Mr Roland Janke,+49 2151 6201221,+49 2151 6201010,info@incas.de
Germany (Federal Republic of) ,DEU,I-Netpartner GmbH Online Services,Fraunhoferstrasse 4,73037 GOEPPINGEN,,,INETP,Mr Hans-Peter Straub,+49 7161 98499 55,+49 7161 98499 56,technik@i-netpartner.de
Germany (Federal Republic of) ,DEU,inexio Informationstechnologie und Telekommunikation KGaA,Am Saaraltarm 1,66740 SAARLOUIS,,,INEXIO,,+49 6831 5030 0,+49 6831 5030 120,info@inexio.de
Germany (Federal Republic of) ,DEU,ingenia digitale Netze GmbH,Seckendorffallee 19 - 21,74564 CRAILSHEIM,,,INGDIG,Mr Steffen Boegner,+49 7954 92690 22,+49 7954 92690 11,s.boegner@ingenia-digital.de
Germany (Federal Republic of) ,DEU,Innofactory GmbH,Agathastr. 63,D-57368 LENNESTADT,,,LNET,Mr Kevin Baier CTO,+49 27219459434,+49 2721983720,KBaier@innofactory.de
Germany (Federal Republic of) ,DEU,inopla GmbH,Reisholzer Werftstrasse 31,40589 DÜSSELDORF,,,INOPLA,,+49 211 36764000,+49 211 36764010,kontakt@inopla.de
Germany (Federal Republic of) ,DEU,InSysCo Datensysteme GmbH,Nürburgring Boulevard 2,53520 NÜRBURG,,,INSYSC,Mr Alexander Langen,+49 2691 45997 90,+49 2691 45997 99,alangen@insysco.de
Germany (Federal Republic of) ,DEU,IN-telegence GmbH,Oskar-Jaeger-Strasse 125,50825 Cologne,,,D22221,Mr. Frank Mohr,+49 221 26015 219,,fm@in-telegence.net
Germany (Federal Republic of) ,DEU,Inter.net Germany GmbH,Knesebeckstr. 59-61,10719 BERLIN,,,INET42,Mr Christian Röhl,+49 30 25430 301,+49 30 25430 499,itu@de.inter.net
Germany (Federal Republic of) ,DEU,Intercross Deutschland GmbH,Industriestr. 48,D-63150 HEUSENSTAMM,,,ICROSS,Horst Heider,+49 6104 406 120,+49 6104 406 100,hheider@intercross-germany.de
Germany (Federal Republic of) ,DEU,intersaar GmbH,Heinrich-Barth-Strasse 23,66115 SAARBRÜCKEN,,,INTERS,Mr Volker Musebrink,+49 681 94819 0,+49 681 94819 88,noc@intersaar.net
Germany (Federal Republic of) ,DEU,ip-fabric GmbH,Oetztaler Strasse 1,81373 MUNICH,,,IPF,Mr Martin Born,+49 89 21231900,+49 89 21231901,portierung@ip-fabric.net
Germany (Federal Republic of) ,DEU,itelco-consult GmbH,Rosa-Luxemburg-Strasse 14,18055 ROSTOCK,,,ITELCO,Mr. Ulf Krueger,+49 381 444380130,+49 381 444380112,info@itelco-consult.de
Germany (Federal Republic of) ,DEU,ITENOS GmbH,Lievelingsweg 125,53119 BONN,,,ITENOS,Mr Martin Haeussler,+49 228 7293 4370,+49 228 7293 94370,martin.haeussler@itenos.de
Germany (Federal Republic of) ,DEU,ITS AG,Dammer Weg 37,63773 GOLDBACH,,,63773,Mr Daniel Schrod,+49 6021 49649 0,+49 6021 49649 999,info@its-gruppe.de
Germany (Federal Republic of) ,DEU,Jens Dreiheller – Lodaya Technologies,Hofer Strasse 32 A,91056 ERLANGEN,,,LODAYA,Mr Jens Dreiheller,+49 3222 2132461,+49 3222 2133859,info@lodaya.net
Germany (Federal Republic of) ,DEU,"Jonny Rönnefahrt, Chono Gruppe Deutschland",Leipziger Strasse 276,01139 DRESDEN,,,CHONOC,Mr Jonny Roennefahrt,+49 351 8472 1996,+49 351 8472 1997,jonny-roennefahrt@chono.de
Germany (Federal Republic of) ,DEU,Kabel + Satellit Bergen Kommunikationstechnik GmbH,Tilzower Weg 32,18528 BERGEN,,,KASAT,Mr Daniel Hoffmann,+49 3838 20103 131,+49 3838 20103 109,daniel.hoffmann@kabelsat.net
Germany (Federal Republic of) ,DEU,Kabel BW GmbH,Aachener Strasse 746 - 750,50933 Cologne,,,KBW,Mr. Jan Dombrowski,+49 221 8462 5182,+49 221 8462 5960,jan.dombrowski@umkbw.de
Germany (Federal Republic of) ,DEU,Kabel Deutschland Vertrieb & Service GmbH,Betastrasse 6-8,85774 Unterföhring,,,KDVS,Mr. Christopher Hasenkamp,+49 89 960 10 181,+49 89 960 10 870,christopher.hasenkamp1@kabeldeutschland.de
Germany (Federal Republic of) ,DEU,Kabelcom Rheinhessen GmbH,Dieselstrasse 1,85774 UNTERFOEHRING,,,TCKABE,Mr Andreas Gaertig,+49 341 60 952 445,+49 341 60 952 903,andreas.gaertig@pyur.com
Germany (Federal Republic of) ,DEU,Kabelfernsehen Muenchen Servicenter GmbH & Co. KG,Medienallee 24,85774 UNTERFOEHRING,,,TCKMSG,Mr Andreas Gaertig,+49 341 60 952 445,+49 341 60 952 903,andreas.gaertig@pyur.com
Germany (Federal Republic of) ,DEU,Kabel-TV-Binz GmbH & Co.KG,Duenenstrasse 34 A,18609 BINZ,,,TVBINZ,Mr. A. Padur,+49 38393 402770,+49 38393 402771,padur@kabel-tv-binz.de
Germany (Federal Republic of) ,DEU,KADSOFT Computer GmbH,Poisentalstrasse 112,01705 Freital,,,WOAFTL,Mr. Winfried Droll,+49 351 6472 404,+49 351 6472 443,support@weboverair.de
Germany (Federal Republic of) ,DEU,Kadsoft Computer GmbH Freital,Poisentalstrasse 112,01705 FREITAL,,,KSNET,Mr Winfried Droll,+49 351 2124 9110,+49 351 6472 443,vdsl@ksnet.de
Germany (Federal Republic of) ,DEU,KAEMI GmbH,Prinzessinnenstrasse 19 - 20,10969 BERLIN,,,KAEMIX,Mrs Anna Steffens,+49 30 3642878 21,+49 30 3642878 99,portierungen@kaemi.io
Germany (Federal Republic of) ,DEU,Kai Rottleb,KNT Internet,Riethnordhaeuserstrasse 71,99189 HASSLEBEN,,KNTI,Mr. Kai Rottleb,+49 36201 61055,+49 36201 249890,kai.rottleb@gmail.com
Germany (Federal Republic of) ,DEU,KDD-Conos AG,Lievelingsweg 125,D-53119 BONN,,,KDDCON,Rolf Diederichs,+49 228 9829 819,+49 228 9829 899,rolf.diederichs@conos-ag.de
Germany (Federal Republic of) ,DEU,Kecht und Guggenbichler GbR,RuhNet,Zell 40,83324 RUHPOLDING,,RUHNET,,+49 8663 7809888,+49 8663 7809889,kontakt@ruhnet.org
Germany (Federal Republic of) ,DEU,KEVAG Telekom GmbH,Cusanusstrasse 7,56073 Koblenz,,,KEVAG,Mr. Markus Gerhards,+49 261 20162 304,+49 261 20162 25100,mgerhards@kevag-telekom.de
Germany (Federal Republic of) ,DEU,Kielnet GmbH,Postfach 4160,D-24100 KIEL,,,KIEL43,Gberhard Schmidt,+49 431 2219 000,+49 431 2219 001,e.schmidt@kielnet.de
Germany (Federal Republic of) ,DEU,KKG Kabelkommunikation Guestrow GmbH,Goldberger Str. 13,18273 GUESTROW,,,TCKKGG,Mr Andreas Gaertig,+49 341 60 952 445,+49 341 60 952 903,andreas.gaertig@pyur.com
Germany (Federal Republic of) ,DEU,K-net Telekommunikation GmbH,Barbarossastrasse 64,67655 KAISERSLAUTERN,,,KNET,,+49 631 3160 800,+49 631 3160 822,info@k-net-gmbh.de
Germany (Federal Republic of) ,DEU,KNÖV-NetT (Breitband) GmbH & Co.KG,Bahnhofstrasse 13,24582 BORDESHOLM,,,KNOEV,Mr. Martin Schoelermann,+49 4322 6977 16,+49 4322 6977 63,
Germany (Federal Republic of) ,DEU,KomMITT - Ratingen GmbH,Kaiserswerther Strasse 85,40878 RATINGEN,,,KOMMIT,Mr. Peter Thulke,+49 2102 48 280- 60,+49 2102 48 280 -99,peter.thulke@kommitt.de
Germany (Federal Republic of) ,DEU,komro GmbH,Am Innreit 2,83022 Rosenheim,,,KOMRO,,+49 8031 3652 418,+49 8031 3652 864,info@komro.net
Germany (Federal Republic of) ,DEU,KomTel (Gessellschaft für,Kommunikations und,informationsdienste mbG,Nordemarkt 1,D-24937 FLENSBURG,KOMTEL,Gerd Jürgensen,+49 909 0085,+49 909 0031,gerd.juergensen@komtel.net
Germany (Federal Republic of) ,DEU,KSP-Kabelservice Prenzlau GmbH,Freyschmidtstrasse 20,17291 PRENZLAU,,,KSP01,Mr Andreas Gaertig,+49 341 60952 445,+49 341 60952 903,andreas.gaertig@telecolumbus.de
Germany (Federal Republic of) ,DEU,KurpfalzTEL Gesellschaft für Telekommunikation mbH,Eschenweg 6,68789 ST. LEON - ROT,,,KPTEL,Mr Erdinc Bozal,+49 6227 1715 0,+49 6227 1715 99,support@kurpfalztel.net
Germany (Federal Republic of) ,DEU,LEW Telnet GmbH,Oskar-von-Miller-Strasse 1 B,86356 Neusaess,,,LEWTN,Mr. Leonhard Bader,+49 821 328 4062,+49 821 328 1440,leonhard.bader@lewtelnet.de
Germany (Federal Republic of) ,DEU,Lightup Network Solutions GmbH & Co.KG,Wiesenhuettenplatz 26,60329 FRANKFURT,,,LNS,Mr. Markus Stalder,+49 69 9624456 0,+49 69 9624456 20,info@lightupnet.de
